label,lon,lat,urban_elev_m,rural_ref_elev_m,reference_elevation_surplus_m,conventional_SUHI_C,elevation_matched_SUHI_C,reference_elevation_bias_C,correction_uncertainty_C,matched_ref_pixels,trust_flag
6624,113.58105376006208,22.88439970671362,17.560796714514947,70.46322011590233,52.90242340138738,2.766941289784871,4.528577714053284,-1.7616364242684135,0.26302005064329814,1478,ok
10422,106.83508752309385,-6.366921005534969,123.77423681125968,29.01043551884316,-94.76380129241652,0.2855113743361492,1.7259548061761087,-1.4404434318399597,0.43127432052301273,659,ok
2666,139.65131726412585,35.68494257231532,37.66371065276783,100.86213013772188,63.19841948495405,3.194426147972731,4.144318055149064,-0.9498919071763332,0.3753458441005413,602,ok
4765,77.21667093473336,28.59077333598192,218.70874538236453,230.5030834817479,11.794338099383369,0.0634030202188675,1.7895208960597948,-1.7261178758409272,0.09966991134114014,3409,ok
3926,121.43207863971875,31.192208011537524,4.972004689299534,4.168572713203095,-0.803431976096439,1.86951115519156,1.830150387256534,0.039360767935026,0.0939482252473253,1192,ok
6350,90.44954051428944,23.82111421714677,10.020765920912762,8.337469998604613,-1.6832959223081492,0.0875674127790233,1.1524535371866769,-1.0648861244076535,0.060475483558331225,764,ok
8031,120.96148347303256,14.62199065834088,37.49070625045599,406.52617600619175,369.0354697557357,5.541550079352732,2.067358819915029,3.474191259437704,0.8505932363292423,388,ok
6737,88.17106915556235,22.46542006853036,6.698763664750164,6.750056725030586,0.0512930602804218,0.6405564880124999,0.7928749232776227,-0.1523184352651228,0.16106141362257412,1090,ok
4325,31.277321754181763,30.06313410667269,52.96173317866575,122.08209609251756,69.1203629138518,-1.794792159353321,-1.3475595076428135,-0.4472326517105074,0.4284066308179579,2045,ok
2249,126.93235360858188,37.472404977839474,52.08395536691361,244.19543831526144,192.11148294834783,4.022237630865494,6.6015904241767664,-2.5793527933112728,0.5725210531264939,788,ok
11163,-46.5930315649059,-23.57259810669205,777.7774717381699,826.4625761742685,48.68510443609864,4.116749804105073,4.3208941089789725,-0.2041443048738997,0.30880287981237403,3211,ok
7458,72.91317208247274,19.12954760869122,18.46455007065933,2.4647384881973267,-15.999811582462003,1.712841424487884,-0.4638737905593117,2.176715215047196,0.12241775121958162,2114,ok
6084,67.09935359169089,24.9012237291,33.694320123406904,46.218814397568806,12.524494274161905,0.1997057334752696,-0.0434571397367591,0.2431628732120287,0.21844174026032084,2192,ok
7389,-99.10531433111372,19.459621005656825,2310.722250650429,2855.563324285725,544.8410736352957,5.871172349401924,3.35226153878816,2.518910810613764,0.5237149531276551,925,ok
1730,116.40992342000727,39.95894405343268,45.96273651590577,297.788761418924,251.82602490301824,2.938814933371699,3.057275217985275,-0.118460284613576,0.3567694418839919,1327,ok
8155,100.54732216645154,13.770279416444655,5.110143682102101,2.968473928978408,-2.141669753123693,2.278286568513828,1.7084291066574655,0.5698574618563625,0.20025502936920608,2504,ok
3213,-117.96096891519431,33.965443419935895,166.78676420922804,924.3104092522146,757.5236450429866,2.870054168514695,3.836529199581335,-0.96647503106664,0.41761861525173033,294,ok
1518,29.04866639950572,40.98593922759348,87.33189500018507,382.120268643397,294.788373643212,5.5166179078578494,4.041287527955944,1.475330379901905,0.39191379151592215,1668,ok
1562,-73.9403116914996,40.73071845735881,26.077682757493783,21.631375416151176,-4.446307341342607,3.336979831635308,4.635955662621694,-1.2989758309863857,0.944390440303389,492,ok
