key,label,order,n_points,n_blocks,coef_degC_per_km,ci_low_degC_per_km,ci_high_degC_per_km,p,median_block_slope_degC_per_km,q25_block_slope_degC_per_km,q75_block_slope_degC_per_km,share_blocks_negative
jan_day,JAN day,0,417296,7040,-5.154395541916627,-5.284972923265841,-5.023818160567413,0.0,-4.0992119162022815,-7.237531274613778,0.7305946298132373,0.727840909090909
jan_night,JAN night,1,417254,7040,-3.933728123238168,-4.067138232395031,-3.8003180140813053,0.0,-2.23833884621728,-5.250946990735406,2.391650283821266,0.6490056818181819
apr_day,APR day,2,417296,7040,-6.162165089356039,-6.329388289225931,-5.994941889486146,0.0,-4.8824206705651285,-8.91720070203111,0.9674053499638151,0.7346590909090909
apr_night,APR night,3,417260,7040,-4.762918191011541,-4.865837024855992,-4.659999357167089,0.0,-3.143130409580867,-5.64787918158502,0.3564518392472095,0.7322443181818182
jul_day,JUL day,4,417119,7040,-5.590945565185832,-5.7506361673724875,-5.431254962999176,0.0,-5.164182404129675,-9.030154194115237,-0.06910053664148552,0.7514204545454546
jul_night,JUL night,5,416817,7040,-4.916646841693791,-5.002376255696552,-4.8309174276910305,0.0,-4.273032069309323,-6.305922500402085,-1.4776728946854885,0.8146306818181818
oct_day,OCT day,6,417175,7040,-5.393910109147472,-5.525140351445992,-5.262679866848953,0.0,-4.9811433377509395,-8.086855204319322,-0.6842113798929252,0.7670454545454546
oct_night,OCT night,7,417224,7040,-4.339902190953663,-4.43879001980142,-4.241014362105907,0.0,-3.188142618416284,-5.540325134747239,0.2852812896004626,0.7346590909090909
