window,chelsa,n_blocks,skin_lapse,skin_lo,skin_hi,air_lapse,air_lo,air_hi,f,f_lo,f_hi
jan_day,tasmax_01,7040,-5.1543955381679805,-5.284383925021197,-5.023616438445738,-5.75498884761246,-5.818675051843826,-5.691298348540014,0.8956395354799611,0.877013088723921,0.9140560117099031
apr_day,tasmax_04,7040,-6.162165087019008,-6.330524987013163,-5.994822440863621,-5.9951827984729045,-6.067288830763002,-5.923464113261894,1.0278527434707474,1.0055221633160603,1.0501668108947566
jul_day,tasmax_07,7040,-5.590945558611026,-5.748248790652259,-5.430453423211093,-5.741145808455722,-5.817893489015808,-5.664007198939367,0.973837931511254,0.949951442871665,0.9975092036048333
oct_day,tasmax_10,7040,-5.393910104177057,-5.525551788644274,-5.264303171363216,-5.842965562735831,-5.903683000806272,-5.780644748393165,0.9231459686460116,0.9046186511657566,0.9419636375545484
jan_night,tasmin_01,7040,-3.933728123327984,-4.066102347098335,-3.7974840101690726,-5.799299466113831,-5.852588133238016,-5.745385807674596,0.6783109143291086,0.6571480765605521,0.6989553052871471
apr_night,tasmin_04,7040,-4.762918189513889,-4.8646826356315485,-4.659199559436541,-5.9718669024828515,-6.016538386024036,-5.926738877485073,0.7975593340055298,0.7811742516256318,0.8136172598039775
jul_night,tasmin_07,7040,-4.916646839121345,-5.000800914733989,-4.828925681052471,-5.805396196307409,-5.861186363923088,-5.747839719919955,0.8469097840813408,0.8317440370244542,0.8619874037239759
oct_night,tasmin_10,7040,-4.339902190170285,-4.438304438418449,-4.239825731752848,-5.900469806054725,-5.947782047239377,-5.851405686524925,0.7355180744619565,0.7195801911866387,0.7511348194196685
